prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,23.48911989316491,None,space,16.18891132753015,23.48911989316491,None,,,,,,,,,,,,,,,,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,3,3,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,341.53161244305784,None,0.8526511333341629,351.9137926721478,None,"[87. 87. 87. 93. 87. 87. 87. 93. 93. 87. 87. 87. 87. 87. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 87. 93. 87. 87. 87. 93. 87. 87. 93. 87. 87.]",352.8546513940006,None,s,1,0.9974034874391009,352.8546513940006,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,3,3,2,3,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,0.9279527472189493,353.9120691734262,None,"[87. 87. 87. 93. 87. 87. 93. 93. 87. 93. 93. 93. 93. 93. 93. 93. 87. 93.
 93. 87. 93. 87. 87. 87. 93. 93. 93. 93. 93. 93. 87. 87. 87. 87.]",354.92785647303015,None,l,1,0.6041635535824526,354.92785647303015,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,3,3,2,3,0,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,3,3,3,3,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,,,,,,,355.5523149531955,None,0.7493288450631804,357.1009959346725,None,"[87. 87. 87. 93. 93. 93. 93. 87. 87. 93. 93. 93. 87. 87. 87. 87. 93. 93.
 93. 87. 93. 93. 93. 87. 93. 93. 93. 93. 93. 93. 93. 93. 87. 87.]",357.93359494765355,None,s,1,0.8144271905175628,357.93359494765355,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,3,3,3,3,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,,,,,,,,,0.7209071053625096,358.81616355727056,None,"[87. 87. 93. 87. 93. 87. 93. 87. 87. 93. 87. 87. 87. 87. 87. 87. 93. 87.
 87. 93. 87. 93. 87. 87. 87. 87. 87. 93. 93. 87. 87. 87. 87. 87.]",359.6238003820305,None,l,1,0.7233299882683468,359.6238003820305,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,3,3,3,3,0,1,1,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,2,3,1,0,0,0,0,1,0,0,2,2,2,0,0,0,0,,,,,,,360.36482176829554,None,0.9454855851903611,360.789459589824,None,"[93. 87. 93. 93. 87. 93. 93. 93. 87. 93. 93. 93. 87. 93. 87. 87. 93. 87.
 93. 87. 93. 87. 93. 87. 87. 93. 93. 93. 87. 87. 87. 93. 93. 93.]",361.82190106976225,None,l,1,0.7011615100145718,361.82190106976225,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,2,3,1,0,0,0,0,1,0,0,2,2,2,1,0,1,0,,,,,,,,,0.9461326796503708,362.5879183188607,None,"[87. 93. 93. 93. 93. 93. 93. 93. 87. 93. 93. 87. 87. 87. 93. 93. 93. 93.
 87. 87. 87. 87. 87. 87. 87. 87. 87. 87. 93. 87. 87. 87. 93. 87.]",363.61203094472353,None,s,1,0.5917664856468718,363.61203094472353,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,2,3,1,0,0,0,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,2,3,1,1,0,0,1,1,0,0,3,3,3,0,0,0,0,,,,,,,364.22815672228637,None,0.7728538343235148,364.6361499847983,None,"[93. 87. 93. 87. 93. 87. 93. 87. 87. 93. 87. 87. 93. 87. 93. 87. 93. 87.
 93. 93. 93. 93. 93. 93. 93. 87. 87. 93. 93. 87. 93. 87. 93. 87.]",365.49373812569036,None,l,1,0.677343937896353,365.49373812569036,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,2,3,1,1,0,0,1,1,0,0,3,3,3,1,0,1,0,,,,,,,,,0.8010096485363922,366.23476239835077,None,"[87. 87. 93. 93. 93. 87. 87. 87. 93. 87. 93. 87. 87. 87. 87. 87. 87. 87.
 93. 93. 87. 93. 87. 87. 87. 87. 87. 87. 93. 93. 93. 87. 87. 87.]",367.1173306872571,None,l,1,0.685784399257841,367.1173306872571,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,2,3,1,1,0,0,1,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,3,2,3,2,0,0,0,0,1,1,0,0,4,4,4,0,0,0,0,,,,,,,367.8250549377244,None,0.9570814627706568,368.19972604901227,None,"[93. 93. 93. 87. 93. 87. 93. 93. 93. 87. 87. 93. 93. 93. 87. 93. 87. 93.
 87. 87. 93. 87. 87. 87. 87. 87. 87. 87. 93. 87. 93. 87. 93. 93.]",369.2321668875294,None,s,1,0.619014698968158,369.2321668875294,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,3,2,3,2,0,0,0,0,1,1,0,0,4,4,4,1,0,1,0,,,,,,,,,0.739012000907265,369.91491291424586,None,"[93. 93. 93. 87. 87. 93. 93. 87. 93. 93. 87. 93. 87. 93. 93. 93. 93. 87.
 87. 87. 87. 93. 87. 93. 93. 87. 87. 87. 87. 87. 93. 93. 87. 87.]",370.7308664060786,None,s,1,0.6882519465530095,370.7308664060786,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,3,2,3,2,0,0,0,0,1,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,2,2,3,0,1,1,0,0,1,0,0,5,5,5,0,0,0,0,,,,,,,371.4385941843624,None,0.8306516509360832,371.94648815487494,None,"[93. 87. 87. 87. 93. 87. 93. 87. 87. 93. 87. 93. 87. 93. 87. 87. 93. 87.
 87. 93. 93. 93. 87. 87. 93. 87. 93. 87. 87. 87. 93. 87. 93. 87.]",372.8623619180546,None,s,1,0.6047882978157304,372.8623619180546,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,2,2,3,0,1,1,0,0,1,0,0,5,5,5,1,0,1,0,,,,,,,,,0.9001716753950096,373.5284569715427,None,"[93. 87. 93. 87. 93. 87. 93. 87. 93. 93. 87. 93. 87. 87. 87. 93. 87. 93.
 93. 87. 93. 93. 87. 93. 93. 87. 93. 93. 87. 87. 87. 93. 87. 93.]",374.5026157155887,None,l,1,0.5635615926296396,374.5026157155887,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,2,2,3,0,1,1,0,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,3,3,0,0,0,1,1,1,0,0,6,6,6,0,0,0,0,,,,,,,375.08544371593246,None,0.8647206822338047,375.5267357177952,None,"[93. 93. 87. 87. 87. 87. 93. 87. 87. 93. 93. 93. 93. 93. 93. 87. 93. 87.
 87. 87. 93. 87. 93. 93. 93. 93. 87. 87. 87. 93. 93. 93. 93. 93.]",376.47588865697946,None,s,1,0.8158113774328513,376.47588865697946,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,3,3,0,0,0,1,1,1,0,0,6,6,6,1,0,1,0,,,,,,,,,0.8048553574347265,377.3501563143425,None,"[87. 87. 87. 87. 93. 87. 93. 87. 93. 93. 93. 87. 87. 87. 93. 87. 93. 87.
 93. 87. 93. 93. 87. 93. 93. 87. 87. 93. 93. 93. 87. 93. 93. 87.]",378.2410688514327,None,s,1,0.6490854862100832,378.2410688514327,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,3,3,0,0,0,1,1,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,3,3,1,0,0,1,0,1,0,0,7,7,7,0,0,0,0,,,,,,,378.9071437001535,None,0.7597600875858885,379.2901459104909,None,"[93. 87. 87. 93. 93. 87. 93. 87. 87. 93. 87. 87. 87. 93. 93. 87. 87. 87.
 93. 93. 87. 93. 87. 93. 87. 93. 87. 87. 93. 87. 93. 87. 93. 87.]",380.1394128943617,None,l,1,0.5748092338031938,380.1394128943617,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,3,3,1,0,0,1,0,1,0,0,7,7,7,1,0,1,0,,,,,,,,,0.8957516257610328,380.7805271584143,None,"[87. 87. 87. 87. 93. 93. 87. 87. 87. 87. 87. 87. 87. 93. 87. 87. 93. 93.
 93. 87. 87. 93. 93. 93. 87. 87. 87. 87. 87. 87. 93. 93. 87. 93.]",381.75468558174975,None,s,1,0.448063124984742,381.75468558174975,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,2,3,3,3,1,0,0,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
2,2,0,1,1,3,3,3,2,1,0,1,0,0,1,0,0,8,8,8,0,0,0,0,,,,,,,382.22927311585727,None,0.9212752537967043,382.6789061587979,None,"[93. 93. 93. 93. 87. 93. 87. 87. 87. 93. 87. 93. 87. 87. 87. 87. 87. 87.
 93. 93. 93. 87. 87. 93. 93. 93. 87. 93. 87. 87. 87. 87. 87. 87.]",383.6780274117757,None,l,1,0.6201772748644316,383.6780274117757,None,None,None,,,,,,,02_HS,24,M,2,2021_Nov_02_1208,Partial repeat,2021.2.3,120.11171118412796,
