prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,48.20740260148432,None,space,4.452964419126602,48.20740260148432,None,,,,,,,,,,,,,,,,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
1,2,0,1,1,3,3,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,461.1522780467121,None,0.8883927800086431,474.0572566456258,None,"[87. 87. 87. 93. 87. 87. 93. 93. 93. 93. 93. 93. 93. 93. 87. 93. 93. 93.
 87. 93. 87. 87. 93. 87. 93. 87. 87. 87. 87. 87. 93. 87. 93. 87.]",475.0314281352612,None,s,1,2.4699454580145357,475.0314281352612,None,None,None,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
1,2,0,1,1,3,3,3,3,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,0.9078397193825617,477.57921865669323,None,"[93. 93. 87. 93. 93. 87. 93. 93. 87. 87. 87. 93. 93. 87. 93. 87. 87. 93.
 93. 87. 87. 87. 87. 87. 87. 93. 87. 93. 87. 93. 93. 87. 93. 87.]",478.57003989011173,None,s,1,1.5393612433122144,478.57003989011173,None,None,None,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
1,2,0,1,1,3,3,3,3,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
4,8,0,1,1,2,2,2,2,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,480.12703226936173,None,0.9316929410846467,481.1344939459268,None,"[93. 87. 93. 93. 93. 93. 93. 87. 93. 93. 93. 87. 93. 87. 93. 87. 93. 87.
 87. 87. 87. 87. 93. 87. 93. 87. 93. 87. 87. 93. 87. 87. 93. 93.]",482.1502873896834,None,l,1,1.8791612988584347,482.1502873896834,None,None,None,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
4,8,0,1,1,2,2,2,2,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,0.8061364660342935,484.0986075984283,None,"[93. 93. 87. 93. 93. 93. 87. 93. 87. 87. 87. 87. 87. 87. 93. 87. 93. 93.
 93. 87. 93. 87. 87. 93. 93. 93. 93. 87. 87. 87. 87. 87. 93. 87.]",484.9811553058853,None,l,1,2.1033935633463443,484.9811553058853,None,None,None,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
4,8,0,1,1,2,2,2,2,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
6,6,0,1,1,2,3,2,3,1,1,0,0,1,0,0,0,2,2,2,0,0,0,0,,,,,,,487.1043364701072,None,0.8551612563196337,487.928631080933,None,"[87. 93. 93. 93. 87. 87. 93. 87. 87. 93. 93. 93. 93. 87. 93. 87. 87. 93.
 87. 93. 87. 87. 93. 87. 87. 87. 93. 87. 93. 87. 87. 87. 87. 87.]",488.8611770886182,None,l,1,1.775328666707992,488.8611770886182,None,None,None,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
6,6,0,1,1,2,3,2,3,1,1,0,0,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,0.7470304482442572,490.7012529561598,None,"[93. 93. 93. 87. 87. 93. 93. 87. 87. 93. 93. 87. 87. 87. 93. 93. 93. 93.
 93. 93. 93. 93. 87. 87. 87. 93. 87. 93. 93. 87. 87. 87. 87. 93.]",491.52554917054385,None,l,1,1.4629850537116909,491.52554917054385,None,None,None,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
6,6,0,1,1,2,3,2,3,1,1,0,0,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
4,6,0,1,1,2,3,3,3,1,0,0,1,0,0,0,0,3,3,3,0,0,0,0,,,,,,,493.0076021482546,None,0.7700444559094497,493.88184566971995,None,"[87. 87. 93. 87. 87. 87. 87. 93. 87. 87. 93. 87. 93. 87. 93. 93. 87. 93.
 87. 93. 93. 87. 93. 87. 87. 93. 87. 87. 87. 87. 93. 87. 93. 93.]",494.73944169238257,None,l,1,1.1930712674097776,494.73944169238257,None,None,None,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
4,6,0,1,1,2,3,3,3,1,0,0,1,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,0.9578555166719738,496.0050146468993,None,"[87. 87. 93. 93. 93. 87. 87. 87. 93. 93. 87. 87. 87. 87. 93. 93. 93. 87.
 93. 93. 93. 87. 93. 87. 93. 87. 93. 93. 93. 87. 87. 87. 93. 87.]",497.0457889602085,None,s,1,1.7187852837264472,497.0457889602085,None,None,None,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
4,6,0,1,1,2,3,3,3,1,0,0,1,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
6,1,0,1,1,2,2,2,2,0,0,1,1,1,0,0,0,4,4,4,0,0,0,0,,,,,,,498.7859580265458,None,0.7205103411147686,500.09315004878044,None,"[87. 87. 93. 93. 93. 93. 93. 87. 93. 93. 93. 87. 87. 93. 87. 87. 87. 87.
 93. 93. 87. 93. 93. 93. 87. 93. 93. 93. 93. 87. 93. 93. 87. 93.]",500.89246860072853,None,s,1,1.7592283019307615,500.89246860072853,None,None,None,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
6,1,0,1,1,2,2,2,2,0,0,1,1,1,0,0,0,4,4,4,1,0,1,0,,,,,,,,,0.7086519853503266,502.715904987258,None,"[87. 93. 93. 93. 87. 87. 87. 87. 93. 93. 93. 93. 93. 87. 87. 87. 93. 93.
 87. 93. 93. 87. 93. 87. 87. 93. 93. 87. 93. 93. 93. 93. 87. 93.]",503.49856802261365,None,s,1,2.0650842395539257,503.49856802261365,None,None,None,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
6,1,0,1,1,2,2,2,2,0,0,1,1,1,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_EA,23,M,5,2021_Oct_29_1343,Partial repeat,2021.2.3,120.10022263136987,
