prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,76.35319587972754,None,space,7.025939013295101,76.35319587972754,None,,,,,,,,,,,,,,,,,,,,,,08_AB,24,M,8,2021_Oct_30_1308,Partial repeat,2021.2.3,120.10639158397129,
2,2,0,1,1,3,2,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,217.81612586857318,None,0.9983124301912698,231.19579249311937,None,"[93. 87. 93. 87. 87. 87. 93. 87. 93. 93. 93. 87. 87. 93. 93. 87. 87. 93.
 93. 87. 87. 93. 87. 87. 87. 93. 93. 87. 93. 87. 93. 87. 87. 93.]",232.27823130255274,None,s,1,0.7102954980937284,232.27823130255274,None,None,None,,,,,,,08_AB,24,M,8,2021_Oct_30_1308,Partial repeat,2021.2.3,120.10639158397129,
2,2,0,1,1,3,2,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,0.9313914191517983,233.06086375890573,None,"[87. 87. 93. 87. 87. 93. 93. 93. 93. 87. 87. 87. 93. 93. 93. 93. 93. 87.
 93. 87. 87. 93. 87. 87. 93. 93. 87. 93. 87. 93. 93. 93. 87. 93.]",234.07664736184142,None,l,1,0.6723823306801933,234.07664736184142,None,None,None,,,,,,,08_AB,24,M,8,2021_Oct_30_1308,Partial repeat,2021.2.3,120.10639158397129,
2,2,0,1,1,3,2,2,3,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08_AB,24,M,8,2021_Oct_30_1308,Partial repeat,2021.2.3,120.10639158397129,
2,2,0,1,1,3,3,2,3,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,,,,,,,234.7594111825165,None,0.8503071201578245,238.1065343487553,None,"[87. 87. 93. 93. 87. 93. 93. 93. 93. 87. 87. 87. 93. 87. 87. 87. 93. 93.
 93. 93. 93. 93. 87. 93. 87. 87. 93. 87. 93. 87. 87. 93. 93. 87.]",239.03908794161453,None,s,1,0.7485944840609591,239.03908794161453,None,None,None,,,,,,,08_AB,24,M,8,2021_Oct_30_1308,Partial repeat,2021.2.3,120.10639158397129,
2,2,0,1,1,3,3,2,3,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,,,,,,,,,0.7347233241420541,239.846733499121,None,"[87. 87. 87. 93. 87. 93. 93. 93. 93. 93. 93. 93. 87. 87. 87. 93. 87. 87.
 87. 87. 87. 93. 87. 93. 87. 93. 93. 87. 93. 93. 87. 93. 93. 93.]",240.66269965228184,None,s,1,0.7729565364488735,240.66269965228184,None,None,None,,,,,,,08_AB,24,M,8,2021_Oct_30_1308,Partial repeat,2021.2.3,120.10639158397129,
2,2,0,1,1,3,3,2,3,0,0,1,0,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08_AB,24,M,8,2021_Oct_30_1308,Partial repeat,2021.2.3,120.10639158397129,
2,2,0,1,1,2,3,2,3,0,1,0,0,0,1,0,0,2,2,2,0,0,0,0,,,,,,,241.46202076556892,None,0.7339698675444386,243.43533033188123,None,"[87. 93. 93. 87. 93. 93. 87. 93. 87. 93. 93. 87. 87. 87. 87. 93. 87. 87.
 93. 87. 87. 93. 93. 93. 93. 87. 93. 87. 93. 93. 93. 87. 93. 93.]",244.25129776789709,None,s,1,0.6244215244569205,244.25129776789709,None,None,None,,,,,,,08_AB,24,M,8,2021_Oct_30_1308,Partial repeat,2021.2.3,120.10639158397129,
2,2,0,1,1,2,3,2,3,0,1,0,0,0,1,0,0,2,2,2,1,0,1,0,,,,,,,,,0.887740703636295,244.94240110633382,None,"[93. 93. 87. 93. 93. 93. 93. 87. 87. 87. 93. 87. 87. 87. 93. 87. 87. 87.
 87. 87. 93. 87. 93. 87. 93. 87. 87. 87. 87. 87. 87. 87. 93. 93.]",245.90820565187278,None,l,1,0.5195253811680232,245.90820565187278,None,None,None,,,,,,,08_AB,24,M,8,2021_Oct_30_1308,Partial repeat,2021.2.3,120.10639158397129,
2,2,0,1,1,2,3,2,3,0,1,0,0,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08_AB,24,M,8,2021_Oct_30_1308,Partial repeat,2021.2.3,120.10639158397129,
