prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,21.424956012878283,None,space,19.190643513949,21.424956012878283,None,,,,,,,,,,,,,,,,11_YA,25,F,11,2021_Nov_12_1341,Partial repeat,2021.2.3,120.12567518716294,
1,8,0,1,1,3,3,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,73.84049785147909,None,0.8628030810419864,82.34123551375615,None,"[87. 87. 93. 93. 87. 93. 87. 93. 87. 93. 87. 93. 93. 93. 93. 93. 87. 93.
 93. 87. 93. 93. 87. 87. 93. 93. 87. 93. 87. 93. 87. 87. 93. 93.]",83.29045901195605,None,l,1,0.8440698910844731,83.29045901195605,None,None,None,11_YA,25,F,11,2021_Nov_12_1341,Partial repeat,2021.2.3,120.12567518716294,
1,8,0,1,1,3,3,3,3,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,0.9953382155901864,84.19803409795804,None,"[93. 93. 93. 93. 87. 87. 93. 87. 87. 87. 93. 87. 93. 87. 87. 93. 87. 93.
 87. 93. 87. 87. 87. 87. 93. 87. 87. 87. 93. 87. 93. 87. 87. 93.]",85.27215119639277,None,s,1,0.6544733666933098,85.27215119639277,None,None,None,11_YA,25,F,11,2021_Nov_12_1341,Partial repeat,2021.2.3,120.12567518716294,
1,8,0,1,1,3,3,3,3,1,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11_YA,25,F,11,2021_Nov_12_1341,Partial repeat,2021.2.3,120.12567518716294,
3,4,0,1,1,3,2,2,2,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,85.94659325109569,None,0.7759921362899497,87.13727061108602,None,"[93. 87. 93. 87. 87. 93. 93. 93. 93. 93. 87. 87. 93. 93. 93. 87. 87. 93.
 93. 93. 93. 87. 93. 93. 87. 93. 87. 93. 93. 93. 87. 87. 87. 87.]",88.00322967788543,None,s,1,0.8513002642976062,88.00322967788543,None,None,None,11_YA,25,F,11,2021_Nov_12_1341,Partial repeat,2021.2.3,120.12567518716294,
3,4,0,1,1,3,2,2,2,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,0.9112885083681839,88.91913297100291,None,"[93. 87. 93. 93. 87. 87. 93. 87. 93. 87. 93. 87. 87. 93. 93. 93. 93. 87.
 87. 87. 93. 87. 87. 93. 87. 93. 93. 93. 93. 87. 93. 93. 93. 93.]",89.91831448659741,None,s,1,0.7275513234835671,89.91831448659741,None,None,None,11_YA,25,F,11,2021_Nov_12_1341,Partial repeat,2021.2.3,120.12567518716294,
3,4,0,1,1,3,2,2,2,0,0,0,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,11_YA,25,F,11,2021_Nov_12_1341,Partial repeat,2021.2.3,120.12567518716294,
7,2,0,1,1,3,3,3,3,0,0,1,1,1,0,0,0,2,2,2,0,0,0,0,,,,,,,90.66770046293186,None,0.950510100511829,91.38376815851916,None,"[93. 93. 87. 93. 87. 93. 87. 87. 87. 93. 93. 87. 93. 93. 87. 93. 93. 87.
 93. 87. 93. 93. 93. 87. 87. 87. 93. 93. 93. 93. 87. 87. 87. 93.]",92.4245695419886,None,s,1,0.8933861422983682,92.4245695419886,None,None,None,11_YA,25,F,11,2021_Nov_12_1341,Partial repeat,2021.2.3,120.12567518716294,
7,2,0,1,1,3,3,3,3,0,0,1,1,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,0.7594704785572776,93.39044336068673,None,"[93. 93. 87. 93. 87. 93. 93. 93. 87. 87. 87. 87. 93. 93. 87. 93. 87. 93.
 93. 87. 87. 93. 87. 93. 87. 87. 93. 87. 93. 87. 87. 93. 93. 87.]",94.23973254290195,None,s,1,0.6142630752137848,94.23973254290195,None,None,None,11_YA,25,F,11,2021_Nov_12_1341,Partial repeat,2021.2.3,120.12567518716294,
7,2,0,1,1,3,3,3,3,0,0,1,1,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,11_YA,25,F,11,2021_Nov_12_1341,Partial repeat,2021.2.3,120.12567518716294,
