prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,30.947766019064375,None,space,3.585403134002945,30.947766019064375,None,,,,,,,,,,,,,,,,15_SS,23,F,15,2021_Nov_03_1011,Partial repeat,2021.2.3,120.10669933139167,
3,1,0,1,1,2,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,143.67614636765234,None,0.8911253460477941,213.98168448005913,None,"[93. 87. 87. 87. 93. 87. 93. 87. 93. 87. 93. 93. 87. 87. 87. 87. 93. 87.
 93. 87. 93. 87. 87. 87. 87. 93. 93. 87. 87. 93. 87. 93. 87. 93.]",214.95584923475008,None,s,1,1.008351846441883,214.95584923475008,None,None,None,15_SS,23,F,15,2021_Nov_03_1011,Partial repeat,2021.2.3,120.10669933139167,
3,1,0,1,1,2,2,3,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,0.7992333764811795,216.03825319925886,None,"[93. 87. 93. 87. 93. 87. 87. 93. 87. 87. 93. 87. 93. 93. 87. 93. 93. 93.
 93. 87. 93. 87. 93. 93. 87. 93. 93. 87. 93. 87. 87. 87. 87. 87.]",216.92082977076188,None,l,1,0.7551359106664677,216.92082977076188,None,None,None,15_SS,23,F,15,2021_Nov_03_1011,Partial repeat,2021.2.3,120.10669933139167,
3,1,0,1,1,2,2,3,2,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,15_SS,23,F,15,2021_Nov_03_1011,Partial repeat,2021.2.3,120.10669933139167,
4,5,0,1,1,3,3,3,2,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,,,,,,,217.6951642460424,None,0.9622113378417434,219.09394830000406,None,"[93. 87. 87. 87. 87. 87. 93. 87. 93. 93. 87. 93. 93. 93. 93. 87. 87. 93.
 87. 93. 93. 87. 87. 93. 87. 93. 93. 87. 93. 93. 87. 93. 87. 93.]",220.13471716121467,None,s,1,0.692255586773399,220.13471716121467,None,None,None,15_SS,23,F,15,2021_Nov_03_1011,Partial repeat,2021.2.3,120.10669933139167,
4,5,0,1,1,3,3,3,2,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,0.8861349381432293,220.89239676132593,None,"[93. 87. 93. 87. 87. 87. 87. 93. 93. 87. 87. 87. 93. 93. 93. 87. 93. 93.
 87. 87. 87. 93. 87. 93. 93. 93. 87. 87. 93. 93. 87. 87. 87. 87.]",221.85823455949935,None,s,1,0.7767117849423357,221.85823455949935,None,None,None,15_SS,23,F,15,2021_Nov_03_1011,Partial repeat,2021.2.3,120.10669933139167,
4,5,0,1,1,3,3,3,2,0,0,1,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,15_SS,23,F,15,2021_Nov_03_1011,Partial repeat,2021.2.3,120.10669933139167,
4,3,0,1,1,3,3,2,2,1,1,1,1,1,0,0,0,2,2,2,0,0,0,0,,,,,,,222.6658717294631,None,0.773221414986443,223.91481610716392,None,"[93. 93. 87. 87. 93. 93. 87. 93. 93. 87. 87. 87. 93. 93. 87. 87. 87. 93.
 87. 87. 93. 93. 87. 87. 87. 87. 93. 93. 87. 93. 93. 87. 87. 93.]",224.77238711432028,None,l,1,0.662617663778974,224.77238711432028,None,None,None,15_SS,23,F,15,2021_Nov_03_1011,Partial repeat,2021.2.3,120.10669933139167,
4,3,0,1,1,3,3,2,2,1,1,1,1,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,0.8309824820655265,225.5050970697862,None,"[87. 87. 87. 93. 87. 87. 87. 87. 87. 87. 93. 93. 87. 93. 93. 87. 93. 87.
 87. 87. 93. 93. 93. 87. 93. 87. 87. 93. 87. 87. 87. 87. 87. 93.]",226.41265066230176,None,s,0,0.7823579130229064,226.41265066230176,None,227.20362878784476,None,15_SS,23,F,15,2021_Nov_03_1011,Partial repeat,2021.2.3,120.10669933139167,
4,3,0,1,1,3,3,2,2,1,1,1,1,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,15_SS,23,F,15,2021_Nov_03_1011,Partial repeat,2021.2.3,120.10669933139167,
