prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,44.569290707764594,None,space,3.2480301019950275,44.569290707764594,None,,,,,,,,,,,,,,,,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,2,3,3,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,95.16793935727947,None,0.7539964499295972,96.27469463443049,None,"[93. 87. 87. 93. 87. 87. 93. 87. 87. 87. 93. 87. 93. 93. 87. 87. 93. 87.
 93. 93. 93. 93. 93. 87. 87. 93. 87. 93. 87. 93. 87. 87. 87. 93.]",97.11564155473206,None,l,1,0.6031386853283038,97.11564155473206,None,None,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,2,3,3,3,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,,,,,,,,,0.7125271373701217,97.7817409894451,None,"[87. 93. 93. 93. 87. 87. 93. 93. 87. 87. 87. 93. 87. 93. 93. 87. 87. 93.
 87. 87. 93. 93. 93. 87. 87. 93. 87. 87. 93. 93. 87. 93. 87. 93.]",98.58105184431588,None,l,1,0.5139924004215572,98.58105184431588,None,None,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,2,3,3,3,1,1,0,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,3,2,2,3,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,,,,,,,99.1056026395836,None,0.7554117352525671,100.0714372306411,None,"[93. 87. 87. 87. 93. 87. 87. 93. 93. 87. 87. 87. 87. 87. 93. 93. 93. 87.
 93. 93. 93. 93. 93. 87. 87. 93. 93. 87. 93. 87. 93. 87. 93. 87.]",100.90404115884667,None,s,1,0.8777794402085419,100.90404115884667,None,None,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,3,2,2,3,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,,,,,,,,,0.9505481115929759,101.85323306177452,None,"[93. 93. 93. 87. 87. 87. 93. 87. 87. 87. 93. 93. 87. 87. 93. 87. 93. 93.
 93. 87. 93. 87. 93. 93. 87. 87. 87. 87. 87. 93. 93. 87. 87. 93.]",102.88566726938916,None,s,0,0.6721763516252395,102.88566726938916,None,103.56841741002245,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,3,2,2,3,0,1,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,2,2,2,3,1,1,1,0,1,1,0,0,2,2,2,0,0,0,0,,,,,,,104.06799214641251,None,0.7246925409092269,105.15038713099602,None,"[93. 87. 93. 93. 87. 87. 87. 87. 87. 93. 93. 87. 87. 87. 93. 93. 87. 93.
 93. 87. 93. 93. 93. 87. 87. 87. 87. 93. 87. 87. 87. 87. 93. 93.]",105.95803231875107,None,l,1,0.6238572974416456,105.95803231875107,None,None,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,2,2,2,3,1,1,1,0,1,1,0,0,2,2,2,1,0,1,0,,,,,,,,,0.8631299308180256,106.64909690814602,None,"[93. 93. 87. 93. 87. 93. 87. 87. 87. 93. 87. 87. 93. 87. 93. 87. 87. 93.
 87. 87. 93. 93. 93. 87. 93. 87. 87. 87. 87. 93. 87. 87. 93. 93.]",107.59827918972769,None,l,1,0.6316121044292231,107.59827918972769,None,None,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,2,2,2,3,1,1,1,0,1,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,2,3,3,3,0,1,0,1,0,1,0,0,3,3,3,0,0,0,0,,,,,,,108.24771861788577,None,0.7004919115365327,109.36342848419372,None,"[93. 87. 93. 93. 93. 93. 93. 87. 93. 87. 87. 93. 87. 87. 87. 87. 87. 93.
 87. 93. 93. 87. 93. 93. 87. 87. 93. 87. 93. 87. 93. 93. 93. 87.]",110.14609055741494,None,s,1,0.6278200102278788,110.14609055741494,None,None,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,2,3,3,3,0,1,0,1,0,1,0,0,3,3,3,1,0,1,0,,,,,,,,,0.774530537159379,110.84548274475128,None,"[87. 93. 93. 93. 93. 87. 93. 93. 87. 93. 93. 87. 93. 87. 87. 87. 93. 93.
 87. 87. 93. 87. 87. 93. 87. 93. 87. 93. 87. 87. 93. 93. 93. 87.]",111.69475213160877,None,s,0,0.6951607913397311,111.69475213160877,None,112.41079534557502,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,2,3,3,3,0,1,0,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,3,3,3,3,0,0,1,1,1,1,0,0,4,4,4,0,0,0,0,,,,,,,112.91035564994309,None,0.7794083365097062,113.60973661237404,None,"[87. 87. 87. 87. 93. 93. 93. 87. 93. 93. 93. 93. 87. 93. 93. 93. 87. 93.
 93. 93. 87. 93. 87. 87. 93. 87. 93. 87. 87. 87. 87. 87. 93. 87.]",114.47569326627308,None,s,1,0.697366325155599,114.47569326627308,None,None,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,3,3,3,3,0,0,1,1,1,1,0,0,4,4,4,1,0,1,0,,,,,,,,,0.9314116880044245,115.23334624731979,None,"[87. 87. 87. 87. 93. 93. 93. 93. 87. 93. 93. 87. 93. 87. 93. 87. 93. 93.
 87. 87. 87. 87. 93. 93. 93. 87. 93. 93. 93. 87. 93. 87. 87. 93.]",116.2491557266585,None,s,1,0.5878089905745583,116.2491557266585,None,None,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,3,3,3,3,0,0,1,1,1,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
6,6,0,1,1,3,3,3,3,1,1,1,1,1,1,0,0,5,5,5,0,0,0,0,,,,,,,116.85695299586223,None,0.7330631462103337,117.5563576909517,None,"[93. 87. 87. 87. 93. 93. 87. 87. 93. 87. 93. 93. 87. 93. 87. 93. 87. 93.
 93. 93. 87. 87. 87. 93. 87. 87. 93. 87. 87. 93. 93. 87. 87. 87.]",118.37233624945657,None,l,1,0.688652590422862,118.37233624945657,None,None,None,,,,,,,16_IB,22,F,16,2021_Nov_03_1359,Partial repeat,2021.2.3,120.11178865782642,
