prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,54.2873770945007,None,space,4.043334661808331,54.2873770945007,None,,,,,,,,,,,,,,,,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,128.49155143958706,None,0.759028167065987,140.39706373799345,None,"[87. 87. 93. 93. 93. 87. 93. 87. 87. 87. 87. 87. 93. 93. 87. 87. 87. 87.
 87. 93. 87. 93. 87. 87. 93. 93. 93. 87. 87. 87. 87. 87. 87. 93.]",141.24634017586504,None,l,1,0.7447399650009174,141.24634017586504,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,3,3,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,0.9125994378259277,142.0623076118809,None,"[87. 93. 87. 93. 87. 87. 93. 87. 87. 87. 93. 87. 87. 87. 93. 93. 93. 87.
 93. 93. 93. 93. 87. 87. 93. 93. 93. 93. 87. 93. 93. 87. 93. 93.]",143.0614590034911,None,s,1,1.5856627737102826,143.0614590034911,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,3,3,1,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,2,2,3,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,,,,,,,144.6767366485292,None,0.7661187165112049,145.74249193244577,None,"[93. 93. 87. 87. 87. 93. 93. 87. 87. 93. 93. 87. 87. 87. 93. 93. 87. 93.
 93. 87. 87. 93. 87. 87. 93. 93. 87. 93. 87. 87. 87. 93. 93. 87.]",146.59176869103248,None,l,0,0.9664265597475605,146.59176869103248,None,147.57425900708222,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,2,2,3,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,,,,,,,,,0.96313895506663,148.13211254740781,None,"[87. 93. 93. 93. 93. 87. 87. 93. 93. 87. 87. 93. 93. 93. 87. 93. 87. 87.
 87. 93. 87. 93. 87. 93. 93. 87. 93. 93. 93. 93. 93. 93. 87. 93.]",149.18122054645755,None,l,1,1.0809995968338626,149.18122054645755,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,2,2,3,0,1,1,0,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,2,2,2,0,0,1,1,1,1,0,0,2,2,2,0,0,0,0,,,,,,,150.28027938009836,None,0.7569282563819264,151.27942275386522,None,"[87. 87. 93. 93. 93. 87. 93. 93. 87. 87. 93. 87. 87. 93. 93. 93. 87. 93.
 87. 87. 93. 87. 93. 93. 87. 93. 93. 87. 93. 93. 93. 93. 87. 93.]",152.12037442680412,None,s,1,1.1179002711687644,152.12037442680412,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,2,2,2,0,0,1,1,1,1,0,0,2,2,2,1,0,1,0,,,,,,,,,0.728221357071272,153.31102010682298,None,"[87. 87. 93. 87. 93. 87. 87. 93. 93. 93. 93. 93. 93. 87. 93. 87. 93. 93.
 87. 87. 87. 87. 87. 87. 87. 87. 87. 87. 87. 87. 93. 87. 93. 93.]",154.1269981263904,None,s,1,0.7593103080962464,154.1269981263904,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,2,2,2,0,0,1,1,1,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,2,2,0,0,0,1,1,1,0,0,3,3,3,0,0,0,0,,,,,,,154.90133820989104,None,0.9448521787954427,155.54244260668384,None,"[87. 87. 93. 93. 87. 93. 93. 93. 87. 93. 87. 87. 87. 93. 93. 87. 87. 87.
 87. 87. 87. 93. 87. 87. 87. 93. 93. 93. 87. 87. 93. 87. 93. 87.]",156.56657727307356,None,l,0,0.9437642898519698,156.56657727307356,None,157.532414531408,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,2,2,0,0,0,1,1,1,0,0,3,3,3,1,0,1,0,,,,,,,,,0.9548605841556768,158.09027576886183,None,"[93. 87. 93. 93. 87. 87. 93. 87. 87. 87. 93. 87. 87. 87. 93. 87. 93. 93.
 87. 87. 93. 93. 93. 93. 87. 93. 93. 87. 87. 93. 87. 87. 87. 93.]",159.13106541725028,None,s,1,1.1000063722331106,159.13106541725028,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,2,2,0,0,0,1,1,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,3,2,2,3,0,1,0,0,0,1,0,0,4,4,4,0,0,0,0,,,,,,,160.25508411357623,None,0.9713370678907352,160.80461192682742,None,"[93. 93. 93. 87. 87. 93. 93. 87. 93. 93. 93. 93. 87. 93. 93. 87. 93. 87.
 93. 93. 87. 93. 87. 93. 87. 87. 93. 93. 93. 93. 93. 87. 87. 87.]",161.8620555950729,None,l,0,1.279395002162346,161.8620555950729,None,163.15260967926588,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,3,2,2,3,0,1,0,0,0,1,0,0,4,4,4,1,0,1,0,,,,,,,,,0.9391887653808402,163.71047765170806,None,"[93. 87. 87. 87. 87. 93. 93. 87. 93. 87. 87. 87. 87. 87. 93. 87. 93. 87.
 87. 93. 87. 87. 93. 93. 87. 87. 93. 93. 87. 93. 87. 93. 87. 93.]",164.72627408319022,None,l,1,0.767193450294144,164.72627408319022,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,3,2,2,3,0,1,0,0,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,3,3,3,2,0,0,1,0,1,1,0,0,5,5,5,0,0,0,0,,,,,,,165.50893380020534,None,0.7661181695105739,166.08343398397483,None,"[93. 87. 87. 87. 93. 93. 87. 93. 93. 87. 87. 87. 87. 87. 87. 87. 93. 93.
 93. 87. 93. 93. 87. 93. 87. 87. 93. 93. 87. 93. 87. 93. 87. 87.]",166.93271298755644,None,s,1,1.2487838437646133,166.93271298755644,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,3,3,3,2,0,0,1,0,1,1,0,0,5,5,5,1,0,1,0,,,,,,,,,0.755154272285044,168.24825195009907,None,"[93. 93. 93. 93. 87. 93. 87. 87. 93. 93. 93. 93. 93. 87. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 87. 93. 93. 93. 87. 87. 87. 93. 93. 93. 87.]",169.08921548944272,None,s,1,1.5080901529072435,169.08921548944272,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,3,3,3,2,0,0,1,0,1,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,3,3,3,3,0,0,1,1,1,1,0,0,6,6,6,0,0,0,0,,,,,,,170.62123041160885,None,0.8322577008262813,171.32895537782315,None,"[87. 93. 87. 87. 87. 93. 87. 87. 93. 93. 93. 87. 93. 93. 93. 93. 93. 87.
 93. 87. 93. 93. 87. 93. 87. 87. 93. 87. 93. 93. 93. 93. 87. 87.]",172.24483987728127,None,l,0,1.6007491451091482,172.24483987728127,None,173.86844998438028,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,3,3,3,3,0,0,1,1,1,1,0,0,6,6,6,1,0,1,0,,,,,,,,,0.9508289252714508,174.4263240503824,None,"[87. 93. 93. 93. 93. 93. 87. 87. 93. 93. 93. 87. 87. 93. 93. 93. 93. 93.
 93. 87. 87. 87. 93. 87. 87. 87. 93. 87. 87. 87. 93. 87. 93. 93.]",175.4670874002495,None,s,1,0.7145656186330598,175.4670874002495,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,3,3,3,3,0,0,1,1,1,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,3,3,0,0,0,1,1,1,0,0,7,7,7,0,0,0,0,,,,,,,176.2081162368995,None,0.792915495957184,176.8658874820958,None,"[93. 93. 87. 87. 87. 93. 87. 87. 87. 87. 87. 87. 93. 93. 87. 87. 93. 93.
 87. 93. 87. 87. 87. 87. 93. 93. 93. 93. 87. 93. 93. 87. 93. 93.]",177.74014078047549,None,s,1,0.8891284698529489,177.74014078047549,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,3,3,0,0,0,1,1,1,0,0,7,7,7,1,0,1,0,,,,,,,,,0.7148218628893044,178.70598060451812,None,"[93. 87. 87. 87. 87. 87. 93. 87. 93. 87. 93. 93. 93. 87. 93. 87. 87. 87.
 87. 87. 93. 87. 87. 93. 87. 93. 87. 87. 93. 87. 87. 93. 93. 93.]",179.5052994728103,None,s,1,1.2834109788345813,179.5052994728103,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,3,3,0,0,0,1,1,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,2,3,1,1,0,0,1,1,0,0,8,8,8,0,0,0,0,,,,,,,180.8125078975736,None,0.9502779390626303,181.65346213622252,None,"[87. 93. 93. 93. 93. 93. 93. 87. 93. 87. 87. 93. 93. 93. 93. 87. 93. 87.
 93. 93. 93. 87. 87. 93. 93. 87. 87. 93. 93. 93. 93. 87. 93. 93.]",182.6942379939228,None,l,1,0.8625041031828005,182.6942379939228,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,2,3,1,1,0,0,1,1,0,0,8,8,8,1,0,1,0,,,,,,,,,0.8212998269618104,183.626771702533,None,"[87. 93. 87. 93. 93. 87. 87. 93. 87. 93. 93. 93. 93. 87. 87. 93. 93. 87.
 93. 87. 93. 87. 93. 87. 87. 87. 87. 87. 93. 87. 93. 87. 93. 87.]",184.53433496491016,None,l,1,0.6864598754837061,184.53433496491016,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,2,3,2,3,1,1,0,0,1,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
8,8,0,1,1,3,3,3,2,0,1,1,0,0,1,0,0,9,9,9,0,0,0,0,,,,,,,185.24205961040934,None,0.7715281265465654,185.77493917665015,None,"[93. 93. 93. 87. 87. 87. 87. 93. 87. 93. 87. 93. 87. 87. 93. 93. 87. 93.
 93. 87. 87. 93. 87. 87. 87. 87. 93. 93. 93. 93. 87. 93. 93. 93.]",186.63253909659943,None,s,1,0.8601888711436914,186.63253909659943,None,None,None,,,,,,,22_XHM,23,F,22,2021_Nov_05_1343,Partial repeat,2021.2.3,120.10130268372438,
