prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,33.975627684776555,None,space,8.839717854098126,33.975627684776555,None,,,,,,,,,,,,,,,,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
2,4,0,1,1,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,407.64087957650554,None,0.9200836388508155,418.98794276928675,None,"[87. 87. 93. 93. 93. 93. 93. 87. 87. 87. 93. 93. 87. 93. 93. 87. 87. 93.
 93. 93. 93. 87. 93. 93. 87. 87. 93. 93. 93. 87. 87. 87. 93. 87.]",419.9954054558548,None,s,1,0.897096096752648,419.9954054558548,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
2,4,0,1,1,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,0.8529044470613666,420.95292468424304,None,"[93. 87. 87. 93. 87. 93. 87. 87. 87. 87. 87. 93. 87. 93. 87. 87. 87. 93.
 87. 87. 87. 87. 87. 93. 87. 87. 93. 93. 93. 93. 93. 87. 93. 93.]",421.8937914963426,None,l,1,0.8387691830357653,421.8937914963426,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
2,4,0,1,1,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
1,6,0,1,1,2,2,2,2,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,422.7513753806088,None,0.8360099793830387,423.90873290516174,None,"[93. 93. 93. 93. 93. 93. 93. 93. 87. 93. 87. 93. 87. 87. 93. 87. 87. 87.
 87. 87. 93. 87. 87. 93. 87. 87. 93. 87. 93. 93. 93. 87. 87. 93.]",424.82461932890146,None,s,1,0.8200385421150713,424.82461932890146,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
1,6,0,1,1,2,2,2,2,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,0.9757529882260816,425.7072041272004,None,"[93. 93. 87. 87. 93. 93. 93. 93. 87. 87. 87. 87. 87. 87. 87. 93. 93. 87.
 93. 93. 87. 87. 87. 87. 93. 87. 87. 87. 87. 93. 93. 87. 87. 93.]",426.76462759048445,None,s,1,0.7198546448926209,426.76462759048445,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
1,6,0,1,1,2,2,2,2,0,0,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
5,5,0,1,1,2,2,2,3,0,0,1,0,1,0,0,0,2,2,2,0,0,0,0,,,,,,,427.5056609171261,None,0.712820873690137,428.9710549491574,None,"[93. 87. 87. 93. 93. 93. 87. 87. 87. 87. 87. 93. 87. 93. 87. 87. 87. 87.
 93. 87. 87. 93. 87. 87. 93. 87. 87. 87. 93. 87. 87. 93. 87. 93.]",429.7620711817617,None,s,1,0.6824947085733584,429.7620711817617,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
5,5,0,1,1,2,2,2,3,0,0,1,0,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,0.7686118140029442,430.5030772477403,None,"[93. 87. 93. 87. 87. 93. 87. 87. 93. 87. 93. 87. 87. 87. 87. 93. 87. 93.
 87. 93. 93. 93. 93. 93. 93. 87. 87. 87. 87. 87. 87. 93. 93. 93.]",431.3523536856119,None,s,1,0.7242246894675191,431.3523536856119,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
5,5,0,1,1,2,2,2,3,0,0,1,0,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
1,1,0,1,1,2,2,3,2,0,0,1,0,1,0,0,0,3,3,3,0,0,0,0,,,,,,,432.1017342271407,None,0.8689417089377885,433.9251505590364,None,"[87. 93. 93. 93. 93. 87. 87. 87. 87. 93. 93. 93. 93. 87. 93. 93. 93. 93.
 93. 87. 93. 87. 93. 93. 93. 87. 87. 93. 87. 87. 93. 93. 93. 87.]",434.8743479089171,None,s,1,0.6903316680036369,434.8743479089171,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
1,1,0,1,1,2,2,3,2,0,0,1,0,1,0,0,0,3,3,3,1,0,1,0,,,,,,,,,0.973929151522593,435.6153953469584,None,"[87. 93. 87. 93. 93. 93. 93. 93. 93. 93. 93. 87. 87. 87. 87. 87. 87. 93.
 87. 87. 93. 87. 93. 93. 93. 93. 87. 87. 87. 93. 87. 93. 87. 93.]",436.66449596959137,None,s,1,0.7552437956619542,436.66449596959137,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
1,1,0,1,1,2,2,3,2,0,0,1,0,1,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
1,8,0,1,1,3,3,3,3,0,0,1,1,1,0,0,0,4,4,4,0,0,0,0,,,,,,,437.447152800185,None,0.971546473727404,438.57951742854493,None,"[87. 93. 93. 87. 87. 87. 87. 87. 87. 87. 87. 87. 93. 93. 87. 87. 87. 87.
 87. 87. 93. 93. 87. 87. 87. 87. 87. 93. 93. 87. 87. 93. 93. 87.]",439.62860842976806,None,s,1,0.6550919698092912,439.62860842976806,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
1,8,0,1,1,3,3,3,3,0,0,1,1,1,0,0,0,4,4,4,1,0,1,0,,,,,,,,,0.7389991928817751,440.3363430173922,None,"[93. 87. 93. 87. 87. 87. 87. 93. 87. 87. 93. 87. 93. 93. 93. 87. 87. 87.
 93. 93. 87. 93. 87. 87. 93. 87. 87. 87. 87. 87. 93. 87. 87. 93.]",441.16063682190725,None,s,1,0.7870909845769347,441.16063682190725,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
1,8,0,1,1,3,3,3,3,0,0,1,1,1,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
2,3,0,1,1,3,3,2,2,1,1,1,1,1,0,0,0,5,5,5,0,0,0,0,,,,,,,441.9682830208403,None,0.7430937352599257,443.92494081229233,None,"[87. 87. 93. 87. 87. 93. 87. 87. 93. 93. 93. 93. 93. 93. 87. 87. 93. 87.
 93. 87. 87. 93. 93. 93. 87. 93. 93. 93. 87. 87. 93. 87. 93. 93.]",444.75757445528507,None,l,1,0.9022069899183407,444.75757445528507,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
2,3,0,1,1,3,3,2,2,1,1,1,1,1,0,0,0,5,5,5,1,0,1,0,,,,,,,,,0.7363518544878381,445.7233802836781,None,"[87. 87. 93. 93. 93. 87. 93. 93. 87. 87. 93. 87. 93. 87. 93. 93. 87. 93.
 93. 93. 93. 93. 87. 93. 87. 93. 87. 87. 87. 93. 93. 87. 93. 93.]",446.5393775460652,None,l,1,0.81692761944214,446.5393775460652,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
2,3,0,1,1,3,3,2,2,1,1,1,1,1,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
7,5,0,1,1,3,3,2,3,0,0,1,0,1,0,0,0,6,6,6,0,0,0,0,,,,,,,447.3803096554693,None,0.8375000420251685,455.23192056820335,None,"[87. 93. 87. 93. 87. 87. 93. 93. 87. 87. 93. 93. 93. 93. 87. 87. 93. 93.
 93. 93. 87. 93. 87. 87. 93. 87. 87. 93. 87. 93. 87. 93. 87. 87.]",456.156150678984,None,s,1,0.782833831217431,456.156150678984,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
7,5,0,1,1,3,3,2,3,0,0,1,0,1,0,0,0,6,6,6,1,0,1,0,,,,,,,,,0.7843545628023699,456.99709689979136,None,"[93. 93. 87. 87. 87. 87. 87. 93. 87. 93. 93. 93. 87. 93. 87. 87. 93. 87.
 87. 87. 93. 87. 93. 93. 87. 93. 93. 87. 93. 93. 87. 87. 93. 87.]",457.86302382966824,None,s,1,0.6439769958778925,457.86302382966824,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
7,5,0,1,1,3,3,2,3,0,0,1,0,1,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
6,5,0,1,1,3,2,3,3,1,0,0,1,0,0,0,0,7,7,7,0,0,0,0,,,,,,,458.52912946120705,None,0.925137850389635,467.9877012718862,None,"[93. 87. 93. 93. 93. 87. 93. 87. 87. 93. 93. 87. 93. 87. 93. 93. 87. 87.
 93. 93. 93. 87. 87. 87. 93. 87. 93. 93. 87. 93. 93. 87. 93. 93.]",468.9868905077092,None,l,1,0.7353043848925154,468.9868905077092,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
6,5,0,1,1,3,2,3,3,1,0,0,1,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,0.7864570029331988,469.7861388189922,None,"[93. 93. 93. 93. 93. 93. 93. 93. 87. 87. 87. 87. 93. 93. 93. 87. 87. 93.
 93. 93. 87. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.]",470.65207569099584,None,s,1,0.7508734303773963,470.65207569099584,None,None,None,,,,,,,23_PP,26,M,23,2021_Nov_05_1528,Partial repeat,2021.2.3,120.09575164583228,
