prime_tar_pos,probe_tar_pos,dimension,tar_color,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_dot_pos,probe_tar_dot_pos,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,FixCross.started,FixCross.stopped,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,596.322451300919,None,space,43.90852529928088,596.322451300919,None,,,,,,,,,,,,,,,,,,,,23,21,female,23,2022_May_11_1501,Partial repeat,2021.2.3,59.8947642512972,
7,3,0,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,641.8551541008055,None,645.3614739011973,None,646.1457011010498,None,l,0,0.9970603995025158,646.1457011010498,None,647.1668982002884,None,,,,,,,23,21,female,23,2022_May_11_1501,Partial repeat,2021.2.3,59.8947642512972,
7,3,0,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,647.6660511009395,None,648.6800648011267,None,l,1,0.7507757991552353,648.6800648011267,None,None,None,,,,,,,23,21,female,23,2022_May_11_1501,Partial repeat,2021.2.3,59.8947642512972,
7,3,0,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21,female,23,2022_May_11_1501,Partial repeat,2021.2.3,59.8947642512972,
5,5,0,1,2,2,2,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,649.4422917999327,None,651.5903504006565,None,652.521207600832,None,s,0,0.7495435997843742,652.521207600832,None,653.2894417010248,None,,,,,,,23,21,female,23,2022_May_11_1501,Partial repeat,2021.2.3,59.8947642512972,
5,5,0,1,2,2,2,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,653.7946017012,None,654.5914543997496,None,s,1,0.7592433989048004,654.5914543997496,None,None,None,,,,,,,23,21,female,23,2022_May_11_1501,Partial repeat,2021.2.3,59.8947642512972,
5,5,0,1,2,2,2,1,0,1,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21,female,23,2022_May_11_1501,Partial repeat,2021.2.3,59.8947642512972,
3,8,0,1,2,3,2,2,0,0,0,1,1,0,0,0,2,2,2,0,0,0,0,,,,,,,655.3690552003682,None,656.3830155003816,None,657.3635892998427,None,s,0,1.2991896998137236,657.3635892998427,None,658.6816426999867,None,,,,,,,23,21,female,23,2022_May_11_1501,Partial repeat,2021.2.3,59.8947642512972,
3,8,0,1,2,3,2,2,0,0,0,1,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,659.1884573996067,None,660.1024062000215,None,l,1,1.5925842002034187,660.1024062000215,None,None,None,,,,,,,23,21,female,23,2022_May_11_1501,Partial repeat,2021.2.3,59.8947642512972,
3,8,0,1,2,3,2,2,0,0,0,1,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21,female,23,2022_May_11_1501,Partial repeat,2021.2.3,59.8947642512972,
